ref;value;datasheet;footprint;Field1;Field2;Field3;Field4;Field5;Field6;Field7;Item count
C1,C2;22p;http://www.tme.eu/pl/Document/7da762c1dbaf553c64ad9c40d3603826/mlcc_samsung.pdf;;http://www.tme.eu/pl/Document/7da762c1dbaf553c64ad9c40d3603826/mlcc_samsung.pdf;Samsung;CL21C220JBANNNC;TME;CL21C220JBANNNC;;;;2
C3;1u;http://www.jm.pl/karty/CCCX7R.pdf;;http://www.jm.pl/karty/CCCX7R.pdf;Samsung;CL21B105KAFNNNE;TME;CL21B105KAFNNNE;;;;1
C4..C7;100n;http://www.tme.eu/pl/Document/7da762c1dbaf553c64ad9c40d3603826/mlcc_samsung.pdf;;http://www.tme.eu/pl/Document/7da762c1dbaf553c64ad9c40d3603826/mlcc_samsung.pdf;Samsung;CL21B104KBCNNNC;TME;CL21B104KBCNNNC;;;;4
C8;1u;http://www.tme.eu/pl/Document/7da762c1dbaf553c64ad9c40d3603826/mlcc_samsung.pdf;;http://www.tme.eu/pl/Document/7da762c1dbaf553c64ad9c40d3603826/mlcc_samsung.pdf;Samsung;CL21B104KBCNNNC;TME;CL21B104KBCNNNC;;;;1
D01..D56;1N4148;;;;DC Components;CD4148WS(0805C);TME;1N4148-0805;;;;40
DB02..DW4;LED;;;;;;;;;;;42
IC1;ATMEGA32U4;http://www.atmel.com/dyn/resources/prod_documents/doc7766.pdf;TQFP44;http://www.atmel.com/dyn/resources/prod_documents/doc7766.pdf;Atmel;ATmega32U4-AU;DigiKey;ATMEGA32U4-AU-ND;;;;1
J1;MINI;http://www.tme.eu/pl/Document/af7e127923dc7f74ac659db082bbc882/mx54819.pdf;;http://www.tme.eu/pl/Document/af7e127923dc7f74ac659db082bbc882/mx54819.pdf;Natconn;U24-05XXX-1;Alibaba;;;;;1
P1;MISO;;;;;;;;;;;1
P2;Vcc;;;;;;;;;;;1
P3;SCK;;;;;;;;;;;1
P4;MOSI;;;;;;;;;;;1
P5;RES;;;;;;;;;;;1
P6;GND;;;;;;;;;;;1
P18;Row1;;;;;;;;;;;1
P19;Row2;;;;;;;;;;;1
P20;Row3;;;;;;;;;;;1
P21;Row4;;;;;;;;;;;1
P23;Col1;;;;;;;;;;;1
P24;Col2;;;;;;;;;;;1
P25;Col3;;;;;;;;;;;1
P26;Col4;;;;;;;;;;;1
P27;Col5;;;;;;;;;;;1
P28;Col6;;;;;;;;;;;1
P29;Col7;;;;;;;;;;;1
P30;Col8;;;;;;;;;;;1
P31;Col9;;;;;;;;;;;1
P32;Col10;;;;;;;;;;;1
P33;Col11;;;;;;;;;;;1
P34;Col12;;;;;;;;;;;1
P37;Vcc;;;;;;;;;;;1
P38;GPIO0;;;;;;;;;;;1
P39;GPIO1;;;;;;;;;;;1
P40;GPIO2;;;;;;;;;;;1
P41;GPIO3;;;;;;;;;;;1
P42..P205;GND;;;;;;;;;;;7
R1,R2;22;http://www.tme.eu/pl/Document/e5152f6c2c4f933b61676f6de7ae79a8/dcrcw.pdf;;http://www.tme.eu/pl/Document/e5152f6c2c4f933b61676f6de7ae79a8/dcrcw.pdf;Vishay;CRCW080522R0JNTABC;TME;CRCW080522R0JNTABC;;;;2
R3;10k;http://www.tme.eu/pl/Document/e5152f6c2c4f933b61676f6de7ae79a8/dcrcw.pdf;;http://www.tme.eu/pl/Document/e5152f6c2c4f933b61676f6de7ae79a8/dcrcw.pdf;Vishay;CRCW080510K0JNTABC;TME;CRCW080510K0JNTABC;;;;1
R4;300;;;;;;;;;;;1
R5;10k;http://www.tme.eu/pl/Document/e5152f6c2c4f933b61676f6de7ae79a8/dcrcw.pdf;;http://www.tme.eu/pl/Document/e5152f6c2c4f933b61676f6de7ae79a8/dcrcw.pdf;Vishay;CRCW080510K0JNTABC;TME;CRCW080510K0JNTABC;;;;1
R12..RW4;R;;;;;;;;;;;5
S0;DTSM-6;http://www.jm.pl/karty/DTSJW.pdf;switch-tact-DTSM-6;http://www.jm.pl/karty/DTSJW.pdf;Ninigi;TACTB-64K-F;TME;TACTB-64K-F;;;;1
S01..S531;MX1A;;;;;;;;;;;42
X1;ASX3F;;;;YIC;16.00M-SMDXT324;TME;16.00M-SMDXT324;;;;1
